"leaguage_id","home_team_id","away_team_id","season_id","home_sum_pkt_home_away_last_5","home_total_rows_home_away_last_5","away_sum_pkt_home_away_last_5","away_total_rows_home_away_last_5","sum_pkt_home_all","total_rows_home_all","sum_pkt_away_all","total_rows_away_all","sum_pkt_home_last_5","total_rows_home_last_5","sum_pkt_away_last_5","total_rows_away_last_5","type_1","type_0","type_2","type_10","type_02","type_12","home_value","home_players","away_value","away_players","ht_home_score","ht_away_score","ft_home_score","ft_away_score","ht_points","ft_points","bts","goals_2_5","tg"
6,5,14,1,6,3,0,4,0,2,0,2,0,2,0,2,1.65,4.1,5.5,1.18,2.35,1.27,32850000.00,32,11180000.00,34,0,1,0,1,0,0,0,0,1
6,4,16,1,3,4,12,4,3,2,3,2,3,2,3,2,2.67,3.25,2.87,1.47,1.52,1.38,7850000.00,33,8950000.00,29,0,1,0,1,0,0,0,0,1
6,3,8,1,6,5,6,4,3,3,0,2,3,3,0,2,1.96,3.55,4.0,1.26,1.88,1.32,10450000.00,34,11630000.00,33,0,1,2,1,0,3,1,1,3
6,7,2,1,3,5,9,4,6,2,3,1,6,2,3,1,1.83,3.68,4.45,1.22,2.01,1.3,19500000.00,30,10800000.00,26,0,1,2,2,0,1,1,1,4
6,15,4,1,6,5,6,5,6,2,3,2,6,2,3,2,1.58,4.15,6.2,1.14,2.49,1.26,11680000.00,31,7850000.00,33,1,0,2,1,3,3,1,1,3
6,14,1,1,3,5,6,5,3,2,3,2,3,2,3,2,2.72,3.3,2.74,1.49,1.5,1.36,11180000.00,34,12930000.00,31,1,1,1,1,1,1,1,0,2
6,16,17,1,15,5,9,5,0,2,3,3,0,2,3,3,2.4,3.3,3.15,1.39,1.61,1.36,8950000.00,29,7200000.00,23,0,0,0,1,1,0,0,0,1
6,18,11,1,6,5,6,5,0,2,3,2,0,2,3,2,2.25,3.3,3.45,1.34,1.69,1.36,11750000.00,36,9650000.00,32,0,0,0,1,1,0,0,0,1
6,9,13,1,6,4,9,5,0,1,6,3,0,1,6,3,1.74,3.75,5.1,1.19,2.16,1.3,13850000.00,30,5350000.00,27,1,0,4,0,3,3,0,1,4
6,2,3,1,9,5,6,5,3,3,0,2,3,3,0,2,2.11,3.45,3.55,1.31,1.75,1.32,10800000.00,26,10450000.00,34,0,1,1,1,0,1,1,0,2
6,13,7,1,6,5,3,5,3,2,3,3,3,2,3,3,3.55,3.6,2.05,1.79,1.31,1.3,5350000.00,27,19500000.00,30,0,0,0,1,1,0,0,0,1
6,11,4,1,9,5,6,5,3,3,3,3,3,3,3,3,1.7,3.85,5.3,1.18,2.23,1.29,9650000.00,32,7850000.00,33,0,1,0,2,0,0,0,0,2
6,8,6,1,6,5,6,4,0,2,3,3,0,2,3,3,2.67,3.45,2.7,1.51,1.51,1.34,11630000.00,33,14380000.00,27,1,0,2,1,3,3,1,1,3
6,10,18,1,3,5,9,5,6,3,6,3,6,3,6,3,1.67,4.0,5.3,1.18,2.28,1.27,22930000.00,31,11750000.00,36,1,0,3,0,3,3,0,1,3
6,17,15,1,12,5,6,5,0,2,6,3,0,2,6,3,2.82,3.45,2.55,1.55,1.47,1.34,7200000.00,23,11680000.00,31,1,0,2,1,3,3,1,1,3
6,1,16,1,3,5,15,5,6,3,6,3,6,3,6,3,2.0,3.4,4.15,1.26,1.87,1.35,12930000.00,31,8950000.00,29,0,0,0,2,1,0,0,0,2
6,14,12,1,3,5,6,4,3,3,0,1,3,3,0,1,3.1,3.3,2.42,1.6,1.4,1.36,11180000.00,34,34050000.00,33,0,1,1,4,0,0,1,1,5
6,5,9,1,9,4,6,5,0,3,3,3,0,3,3,3,1.92,3.65,4.15,1.26,1.94,1.31,32850000.00,32,13850000.00,30,1,0,1,0,3,3,0,0,1
6,12,10,1,9,5,3,5,6,3,3,2,6,3,3,2,2.12,3.45,3.55,1.31,1.75,1.33,34050000.00,33,22930000.00,31,0,0,1,0,1,3,0,0,1
6,6,5,1,6,4,9,4,0,1,0,1,0,1,0,1,2.83,3.26,2.55,1.51,1.43,1.34,14380000.00,27,32850000.00,32,0,2,0,3,0,0,0,1,3
6,7,11,1,6,5,12,5,6,3,6,3,6,3,6,3,2.02,3.55,3.95,1.29,1.87,1.34,20630000.00,28,8000000.00,31,0,0,1,0,1,3,0,0,1
6,13,14,1,9,5,6,5,3,3,3,3,3,3,3,3,2.75,3.35,2.67,1.51,1.49,1.35,5850000.00,28,11180000.00,34,1,0,2,0,3,3,0,0,2
6,6,16,1,9,5,15,5,0,2,9,4,0,2,9,4,2.32,3.3,3.3,1.36,1.65,1.36,14300000.00,27,8950000.00,29,0,0,0,0,1,1,0,0,0
6,1,12,1,6,5,9,5,6,4,3,2,6,4,3,2,3.4,3.35,2.25,1.69,1.35,1.35,12930000.00,33,34050000.00,33,2,0,3,0,3,3,0,1,3
6,18,3,1,9,5,3,5,0,3,0,3,0,3,0,3,2.23,3.5,3.35,1.36,1.71,1.34,11750000.00,36,10450000.00,35,0,0,1,1,1,1,1,0,2
